Rank,Rating,Title,Review,Genre
48,,Stan & Ollie (2019),219,"['comedy', 'drama', 'history', 'biography']"
49,,Midnight Traveler (2019),46,"['documentary', 'war']"
50,,Ready or Not (2019),303,"['horror', 'mysteryandthriller', 'comedy']"
51,,Mickey and the Bear (2019),45,['drama']
52,,Deadwood: The Movie (2019),87,['western']
53,,Hail Satan? (2019),129,['documentary']
54,,Varda by Agnès (2019),86,"['documentary', 'biography']"
55,,"Scream, Queen! My Nightmare on Elm Street (2019)",41,"['documentary', 'gayandlesbian']"
56,,White Riot (2019),40,"['documentary', 'music']"
57,,The Heiresses (Las Herederas) (2019),80,"['drama', 'gayandlesbian']"
58,,Toni Morrison: The Pieces I Am (2019),99,['documentary']
59,,The Last Black Man in San Francisco (2019),205,['drama']
60,,Midsommar (2019),390,"['horror', 'mysteryandthriller']"
61,,The Mustang (2019),132,['drama']
62,,Wild Rose (2019),191,"['music', 'comedy', 'drama']"
63,,Blinded by the Light (2019),254,"['drama', 'comedy', 'music']"
64,,Bad Education (2019),145,"['drama', 'comedy']"
65,,Ad Astra (2019),378,"['scifi', 'mysteryandthriller', 'adventure']"
66,,63 Up (2019),56,['documentary']
67,,Homecoming: A Film by Beyoncé (2019),55,
68,,Too Late to Die Young (Tarde para morir joven) (2019),55,['drama']
69,,By the Grace of God (Grâce à Dieu) (2019),96,['drama']
70,,Dark Waters (2019),223,"['drama', 'mysteryandthriller']"
71,,Gloria Bell (2019),201,['romance']
72,,Midnight Family (2019),72,"['action', 'documentary', 'drama', 'crime']"
73,,Buñuel in the Labyrinth of the Turtles (Buñuel en el laberinto de las tortugas) (2019),49,"['drama', 'animation']"
74,,American Factory (2019),90,['documentary']
75,,Fiddler: A Miracle of Miracles (2019),44,"['documentary', 'music']"
76,,Making Waves: The Art of Cinematic Sound (2019),65,['documentary']
77,,Working Woman (2019),43,['drama']
78,,Dirty God (2019),41,['drama']
79,,The Cave (2019),62,['documentary']
80,,The Kingmaker (2019),62,['documentary']
81,,"Love, Antosha (2019)",61,['documentary']
82,,I Lost My Body (2019),82,"['drama', 'animation', 'fantasy']"
83,,Harpoon (2019),59,"['mysteryandthriller', 'comedy']"
84,,Jojo Rabbit (2019),418,"['drama', 'comedy']"
85,,Little Woods (2019),96,['drama']
86,,The Two Popes (2019),221,['drama']
87,,In Fabric (2019),156,"['horror', 'comedy']"
88,,Mike Wallace Is Here (2019),91,"['documentary', 'biography']"
89,,Ray & Liz (2019),69,['drama']
90,,Be Natural: The Untold Story of Alice Guy-Blaché (2019),86,['documentary']
91,,Monos (2019),150,"['adventure', 'mysteryandthriller']"
92,,Clemency (2019),148,['drama']
93,,Shadow (2019),102,"['sportsandfitness', 'action', 'adventure']"
94,,Rojo (2019),53,"['drama', 'mysteryandthriller']"
95,,An Elephant Sitting Still (Da xiang xi di er zuo) (2019),49,['drama']
96,,Citizen K (2019),59,['documentary']
97,,The Wild Pear Tree (Ahlat agaci) (2019),80,['drama']
98,,The Kid Who Would Be King (2019),187,"['kidsandfamily', 'adventure', 'fantasy']"
99,,The LEGO Movie 2: The Second Part (2019),295,"['action', 'adventure', 'kidsandfamily', 'animation', 'comedy']"
100,,Raise Hell: The Life & Times of Molly Ivins (2019),58,['documentary']
